variant_type,delta_col,mean,std
snp,D_BW_ENCSR000APB,0.00039051598909064237,0.00806197103796007
snp,D_BW_ENCSR000DTY,0.0003446926641413289,0.00938401435800961
snp,D_BW_ENCSR000DTZ,0.0007166458118675102,0.01033539966680166
snp,D_BW_ENCSR000APW,0.0006591000204157625,0.011088636848510636
snp,D_BW_ENCSR000AOF,7.77891080858361e-05,0.009489059171095606
snp,D_BW_ENCSR000DUA,0.00013921733340646467,0.00832872536917524
snp,D_BW_ENCSR340WQU,0.00015252107101627904,0.007367398753256269
snp,D_BW_ENCSR000AOH,6.996548264964014e-05,0.010178061911568715
snp,D_BW_ENCSR000AQO,0.0009499257732915064,0.010641200272548175
snp,D_BW_ENCSR000EJV,3.261554062875927e-05,0.010097357493788171
snp,D_BW_ENCSR149XIL,0.00047961267777997204,0.01320668963436483
snp,D_BW_ENCSR000AOL,0.0005805419964922799,0.010462540967524352
snp,D_BW_ENCSR000DUE,0.0007017059299426201,0.011312571290453299
snp,D_BW_ENCSR000DUD,0.0003902799075740015,0.010979289340673295
snp,D_BW_ENCSR000APV,0.00031644714693737847,0.015462452820349014
snp,D_BW_ENCSR000AMP,3.2274514182001096e-06,0.011811880718325278
snp,D_BW_ENCSR000DUF,-2.03224551728648e-05,0.010536741970101696
snp,D_BW_ENCSR575RRX,0.0001981495441789301,0.007353285072984167
snp,D_BW_ENCSR000AMD,0.00018537529131286166,0.009573090667860338
snp,D_BW_ENCSR000ATD,0.00037373493178787393,0.0062547799260002646
snp,D_BW_ENCSR477RTP,0.0005062021983739658,0.016474003132110972
snp,D_BW_ENCSR002YRE,0.00025436905586821403,0.013447269648333059
snp,D_BW_ENCSR431UUY,0.0006099223676655028,0.011228082379812
snp,D_BW_ENCSR437ORF,0.00033767946128152374,0.012515270995049238
snp,D_BW_ENCSR831JSP,0.0005723620136069437,0.013783154792473837
snp,D_BW_ENCSR087PFU,0.000360988118709662,0.009650174197796737
snp,D_BW_ENCSR219MYH,0.0007121235577978639,0.012796360254186437
snp,D_BW_ENCSR055ZZY,0.0002378432764711543,0.01194707015243101
snp,D_BW_ENCSR000EIP,0.0004816127447491018,0.011195999503187974
snp,D_BW_ENCSR000DVU,0.0002993360734902895,0.009273429712439545
snp,D_BW_ENCSR000EKN,0.00019249048752662464,0.010506129722258922
snp,D_BW_ENCSR000EKP,-0.0001828032585545483,0.010588087869746826
snp,D_BW_ENCSR000EKQ,-0.00013211165419501117,0.010472224426320011
snp,D_BW_ENCSR921NMD,-0.00027743096216621563,0.011909858065701063
snp,D_BW_ENCSR000AKQ,0.0008507266640663147,0.012549763216601196
snp,D_BW_ENCSR000EWB,3.442647110702645e-05,0.011094060611591648
snp,D_BW_ENCSR000AKR,0.0008603545813224254,0.010327658186300874
snp,D_BW_ENCSR000DWB,0.000527550194125909,0.011136780297731179
snp,D_BW_ENCSR000EWC,-0.00039295793916934574,0.01245453720840617
snp,D_BW_ENCSR000AKU,0.000529276305793697,0.009539860536143637
snp,D_BW_ENCSR000DWD,9.638697354712038e-05,0.008967898568310982
snp,D_BW_ENCSR000EWA,-0.00023496754340126982,0.012176817089841018
snp,D_BW_ENCSR668LDD,1.6525346371862624e-05,0.007105925548810467
snp,D_BW_ENCSR000AKV,0.00041898805488888014,0.008880035836368958
snp,D_BW_ENCSR000EVZ,-0.00010949106106900761,0.011722352487897637
snp,D_BW_ENCSR000APE,0.0007888950471185212,0.009586351941735127
snp,D_BW_ENCSR426IEA,0.00030659234358204737,0.017055699605584448
snp,D_BW_ENCSR955IXZ,0.0002756493723290598,0.008083144507816453
snp,D_BW_ENCSR474VGQ,0.0003615154383274225,0.006222775775376122
snp,D_BW_ENCSR835YBD,0.00014264670511086782,0.0043384620044960385
snp,D_BW_ENCSR976JHS,0.0002952404606800813,0.0087295139571168
snp,D_BW_ENCSR521AIV,0.00015447244175478944,0.0064814746975961615
snp,D_BW_ENCSR719FEJ,0.00010811699570244194,0.011394898861042701
snp,D_BW_ENCSR879WTY,0.00019882113441952273,0.00773521364742401
snp,D_BW_ENCSR630IBN,0.0003962184246788677,0.013589784376366149
snp,D_BW_ENCSR438PYA,0.00019681097095848148,0.009014795288386642
snp,D_BW_ENCSR660IQS,0.00020558183264528585,0.00877575516188799
snp,D_BW_ENCSR963HAR,0.0005138814767711183,0.005901642110282891
snp,D_BW_ENCSR867UKC,0.00023605101065248506,0.006009145295916215
snp,D_BW_ENCSR306VSH,0.00045071289771133,0.009779700248555631
snp,D_BW_ENCSR910XKX,0.0001756396558549669,0.00712838061814091
snp,D_BW_ENCSR058SHN,0.0003296928496187569,0.00787396243584642
snp,D_BW_ENCSR978BQI,0.0002621953940799094,0.00490860664078683
snp,D_BW_ENCSR314EZY,0.0003232684272986192,0.011827698078180245
snp,D_BW_ENCSR746ZPP,0.00032790087036087983,0.010589347996746882
snp,D_BW_ENCSR000EKT,0.00034147294986451793,0.010098887586325832
